entity_id	state	friendly_name	device_class
sensor.helium_containers_jellyseerr_network_input_rate	0.0	helium Containers jellyseerr Network Input Rate	data_rate
sensor.helium_containers_jellyseerr_network_output	109.0	helium Containers jellyseerr Network Output	data_size
sensor.helium_containers_jellyseerr_network_output_rate	0.0	helium Containers jellyseerr Network Output Rate	data_rate
sensor.helium_containers_ollama_block_input	202.0	helium Containers ollama Block Input	data_size
sensor.helium_containers_ollama_block_input_rate	0.0	helium Containers ollama Block Input Rate	data_rate
sensor.helium_containers_ollama_block_output	3.64	helium Containers ollama Block Output	data_size
sensor.helium_containers_ollama_block_output_rate	0.0	helium Containers ollama Block Output Rate	data_rate
sensor.helium_containers_ollama_cpu	0.0	helium Containers ollama CPU	-
sensor.helium_containers_ollama_memory	45.36	helium Containers ollama Memory	data_size
sensor.helium_containers_ollama_network_input	0.2392578125	helium Containers ollama Network Input	data_size
sensor.helium_containers_ollama_network_input_rate	0.0	helium Containers ollama Network Input Rate	data_rate
sensor.helium_containers_ollama_network_output	0.0986328125	helium Containers ollama Network Output	data_size
sensor.helium_containers_ollama_network_output_rate	0.0	helium Containers ollama Network Output Rate	data_rate
sensor.helium_containers_paperless_block_input	736.0	helium Containers paperless Block Input	data_size
sensor.helium_containers_paperless_block_input_rate	0.0	helium Containers paperless Block Input Rate	data_rate
sensor.helium_containers_paperless_block_output	499.0	helium Containers paperless Block Output	data_size
sensor.helium_containers_paperless_block_output_rate	0.0	helium Containers paperless Block Output Rate	data_rate
sensor.helium_containers_paperless_cpu	0.23	helium Containers paperless CPU	-
sensor.helium_containers_paperless_gotenberg_block_input	27.8	helium Containers paperless_gotenberg Block Input	data_size
sensor.helium_containers_paperless_gotenberg_block_input_rate	0.0	helium Containers paperless_gotenberg Block Input Rate	data_rate
sensor.helium_containers_paperless_gotenberg_block_output	0.248046875	helium Containers paperless_gotenberg Block Output	data_size
sensor.helium_containers_paperless_gotenberg_block_output_rate	0.0	helium Containers paperless_gotenberg Block Output Rate	data_rate
sensor.helium_containers_paperless_gotenberg_cpu	0.11	helium Containers paperless_gotenberg CPU	-
sensor.helium_containers_paperless_gotenberg_memory	13.73	helium Containers paperless_gotenberg Memory	data_size
sensor.helium_containers_paperless_gotenberg_network_input	0.01494140625	helium Containers paperless_gotenberg Network Input	data_size
sensor.helium_containers_paperless_gotenberg_network_input_rate	0.0	helium Containers paperless_gotenberg Network Input Rate	data_rate
sensor.helium_containers_paperless_gotenberg_network_output	0.0001201629638671875	helium Containers paperless_gotenberg Network Output	data_size
sensor.helium_containers_paperless_gotenberg_network_output_rate	0.0	helium Containers paperless_gotenberg Network Output Rate	data_rate
sensor.helium_containers_paperless_gpt_block_input	46.4	helium Containers paperless-gpt Block Input	data_size
sensor.helium_containers_paperless_gpt_block_input_rate	0.0	helium Containers paperless-gpt Block Input Rate	data_rate
sensor.helium_containers_paperless_gpt_block_output	0.34765625	helium Containers paperless-gpt Block Output	data_size
sensor.helium_containers_paperless_gpt_block_output_rate	0.0	helium Containers paperless-gpt Block Output Rate	data_rate
sensor.helium_containers_paperless_gpt_cpu	0.1	helium Containers paperless-gpt CPU	-
sensor.helium_containers_paperless_gpt_memory	14.28	helium Containers paperless-gpt Memory	data_size
sensor.helium_containers_paperless_gpt_network_input	22.5	helium Containers paperless-gpt Network Input	data_size
sensor.helium_containers_paperless_gpt_network_input_rate	0.0	helium Containers paperless-gpt Network Input Rate	data_rate
sensor.helium_containers_paperless_gpt_network_output	13.5	helium Containers paperless-gpt Network Output	data_size
sensor.helium_containers_paperless_gpt_network_output_rate	0.0	helium Containers paperless-gpt Network Output Rate	data_rate
sensor.helium_containers_paperless_memory	356.3	helium Containers paperless Memory	data_size
sensor.helium_containers_paperless_network_input	1945.6	helium Containers paperless Network Input	data_size
sensor.helium_containers_paperless_network_input_rate	0.0	helium Containers paperless Network Input Rate	data_rate
sensor.helium_containers_paperless_network_output	512.0	helium Containers paperless Network Output	data_size
sensor.helium_containers_paperless_network_output_rate	0.0	helium Containers paperless Network Output Rate	data_rate
sensor.helium_containers_paperless_postgres_block_input	76.4	helium Containers paperless_postgres Block Input	data_size
sensor.helium_containers_paperless_postgres_block_input_rate	0.0	helium Containers paperless_postgres Block Input Rate	data_rate
sensor.helium_containers_paperless_postgres_block_output	1914.88	helium Containers paperless_postgres Block Output	data_size
sensor.helium_containers_paperless_postgres_block_output_rate	0.0	helium Containers paperless_postgres Block Output Rate	data_rate
sensor.helium_containers_paperless_postgres_cpu	0.0	helium Containers paperless_postgres CPU	-
sensor.helium_containers_paperless_postgres_memory	35.24	helium Containers paperless_postgres Memory	data_size
sensor.helium_containers_paperless_postgres_network_input	218.0	helium Containers paperless_postgres Network Input	data_size
sensor.helium_containers_paperless_postgres_network_input_rate	0.0	helium Containers paperless_postgres Network Input Rate	data_rate
sensor.helium_containers_paperless_postgres_network_output	220.0	helium Containers paperless_postgres Network Output	data_size
sensor.helium_containers_paperless_postgres_network_output_rate	0.0	helium Containers paperless_postgres Network Output Rate	data_rate
sensor.helium_containers_paperless_redis_block_input	17.7	helium Containers paperless_redis Block Input	data_size
sensor.helium_containers_paperless_redis_block_input_rate	0.0	helium Containers paperless_redis Block Input Rate	data_rate
sensor.helium_containers_paperless_redis_block_output	2.36	helium Containers paperless_redis Block Output	data_size
sensor.helium_containers_paperless_redis_block_output_rate	0.0	helium Containers paperless_redis Block Output Rate	data_rate
sensor.helium_containers_paperless_redis_cpu	0.44	helium Containers paperless_redis CPU	-
sensor.helium_containers_paperless_redis_memory	13.37	helium Containers paperless_redis Memory	data_size
sensor.helium_containers_paperless_redis_network_input	257.0	helium Containers paperless_redis Network Input	data_size
sensor.helium_containers_paperless_redis_network_input_rate	0.0	helium Containers paperless_redis Network Input Rate	data_rate
sensor.helium_containers_paperless_redis_network_output	76.3	helium Containers paperless_redis Network Output	data_size
sensor.helium_containers_paperless_redis_network_output_rate	0.0	helium Containers paperless_redis Network Output Rate	data_rate
sensor.helium_containers_paperless_tika_block_input	161.0	helium Containers paperless_tika Block Input	data_size
sensor.helium_containers_paperless_tika_block_input_rate	0.0	helium Containers paperless_tika Block Input Rate	data_rate
sensor.helium_containers_paperless_tika_block_output	316.0	helium Containers paperless_tika Block Output	data_size
sensor.helium_containers_paperless_tika_block_output_rate	0.0	helium Containers paperless_tika Block Output Rate	data_rate
sensor.helium_containers_paperless_tika_cpu	0.29	helium Containers paperless_tika CPU	-
sensor.helium_containers_paperless_tika_memory	191.8	helium Containers paperless_tika Memory	data_size
sensor.helium_containers_paperless_tika_network_input	0.0154296875	helium Containers paperless_tika Network Input	data_size
sensor.helium_containers_paperless_tika_network_input_rate	0.0	helium Containers paperless_tika Network Input Rate	data_rate
sensor.helium_containers_paperless_tika_network_output	0.0001201629638671875	helium Containers paperless_tika Network Output	data_size
sensor.helium_containers_paperless_tika_network_output_rate	0.0	helium Containers paperless_tika Network Output Rate	data_rate
sensor.helium_containers_profilarr_block_input	555.0	helium Containers profilarr Block Input	data_size
sensor.helium_containers_profilarr_block_input_rate	0.0	helium Containers profilarr Block Input Rate	data_rate
sensor.helium_containers_profilarr_block_output	427.0	helium Containers profilarr Block Output	data_size
sensor.helium_containers_profilarr_block_output_rate	0.0	helium Containers profilarr Block Output Rate	data_rate
sensor.helium_containers_profilarr_cpu	0.0	helium Containers profilarr CPU	-
sensor.helium_containers_profilarr_memory	69.07	helium Containers profilarr Memory	data_size
sensor.helium_containers_profilarr_network_input	1.75	helium Containers profilarr Network Input	data_size
sensor.helium_containers_profilarr_network_input_rate	0.0	helium Containers profilarr Network Input Rate	data_rate
sensor.helium_containers_profilarr_network_output	0.7548828125	helium Containers profilarr Network Output	data_size
sensor.helium_containers_profilarr_network_output_rate	0.0	helium Containers profilarr Network Output Rate	data_rate
sensor.helium_containers_profilarr_parser_block_input	108.0	helium Containers profilarr-parser Block Input	data_size
sensor.helium_containers_profilarr_parser_block_input_rate	0.0	helium Containers profilarr-parser Block Input Rate	data_rate
sensor.helium_containers_profilarr_parser_block_output	33.7	helium Containers profilarr-parser Block Output	data_size
sensor.helium_containers_profilarr_parser_block_output_rate	0.0	helium Containers profilarr-parser Block Output Rate	data_rate
sensor.helium_containers_profilarr_parser_cpu	0.01	helium Containers profilarr-parser CPU	-
sensor.helium_containers_profilarr_parser_memory	38.91	helium Containers profilarr-parser Memory	data_size
sensor.helium_containers_profilarr_parser_network_input	0.07958984375	helium Containers profilarr-parser Network Input	data_size
sensor.helium_containers_profilarr_parser_network_input_rate	0.0	helium Containers profilarr-parser Network Input Rate	data_rate
sensor.helium_containers_profilarr_parser_network_output	0.0001201629638671875	helium Containers profilarr-parser Network Output	data_size
sensor.helium_containers_profilarr_parser_network_output_rate	0.0	helium Containers profilarr-parser Network Output Rate	data_rate
sensor.helium_containers_prowlarr_block_input	2.56	helium Containers prowlarr Block Input	data_size
sensor.helium_containers_prowlarr_block_input_rate	0.0	helium Containers prowlarr Block Input Rate	data_rate
sensor.helium_containers_prowlarr_block_output	1075.2	helium Containers prowlarr Block Output	data_size
sensor.helium_containers_prowlarr_block_output_rate	0.0	helium Containers prowlarr Block Output Rate	data_rate
sensor.helium_containers_prowlarr_cpu	0.09	helium Containers prowlarr CPU	-
sensor.helium_containers_prowlarr_memory	129.2	helium Containers prowlarr Memory	data_size
sensor.helium_containers_prowlarr_network_input	113.0	helium Containers prowlarr Network Input	data_size
sensor.helium_containers_prowlarr_network_input_rate	0.0	helium Containers prowlarr Network Input Rate	data_rate
sensor.helium_containers_prowlarr_network_output	250.0	helium Containers prowlarr Network Output	data_size
sensor.helium_containers_prowlarr_network_output_rate	0.03332405924764471	helium Containers prowlarr Network Output Rate	data_rate
sensor.helium_containers_qbittorrent_block_input	0.03203125	helium Containers qbittorrent Block Input	data_size
sensor.helium_containers_qbittorrent_block_input_rate	0.0	helium Containers qbittorrent Block Input Rate	data_rate
sensor.helium_containers_qbittorrent_block_output	33.2	helium Containers qbittorrent Block Output	data_size
sensor.helium_containers_qbittorrent_block_output_rate	0.0	helium Containers qbittorrent Block Output Rate	data_rate
sensor.helium_containers_qbittorrent_cpu	2.62	helium Containers qbittorrent CPU	-
sensor.helium_containers_qbittorrent_memory	23.91	helium Containers qbittorrent Memory	data_size
sensor.helium_containers_qbittorrent_network_input	113.0	helium Containers qbittorrent Network Input	data_size
sensor.helium_containers_qbittorrent_network_input_rate	0.0	helium Containers qbittorrent Network Input Rate	data_rate
sensor.helium_containers_qbittorrent_network_output	250.0	helium Containers qbittorrent Network Output	data_size
sensor.helium_containers_qbittorrent_network_output_rate	0.033324292452790893	helium Containers qbittorrent Network Output Rate	data_rate
sensor.helium_containers_radarr_block_input	93.5	helium Containers radarr Block Input	data_size
sensor.helium_containers_radarr_block_input_rate	0.0	helium Containers radarr Block Input Rate	data_rate
sensor.helium_containers_radarr_block_output	1044.48	helium Containers radarr Block Output	data_size
sensor.helium_containers_radarr_block_output_rate	0.0	helium Containers radarr Block Output Rate	data_rate
sensor.helium_containers_radarr_cpu	0.1	helium Containers radarr CPU	-
sensor.helium_containers_radarr_memory	236.4	helium Containers radarr Memory	data_size
sensor.helium_containers_radarr_network_input	37.8	helium Containers radarr Network Input	data_size
sensor.helium_containers_radarr_network_input_rate	0.0	helium Containers radarr Network Input Rate	data_rate
sensor.helium_containers_radarr_network_output	77.4	helium Containers radarr Network Output	data_size
sensor.helium_containers_radarr_network_output_rate	0.0	helium Containers radarr Network Output Rate	data_rate
sensor.helium_containers_sonarr_block_input	97.6	helium Containers sonarr Block Input	data_size
sensor.helium_containers_sonarr_block_input_rate	0.0	helium Containers sonarr Block Input Rate	data_rate
sensor.helium_containers_sonarr_block_output	1761.28	helium Containers sonarr Block Output	data_size
sensor.helium_containers_sonarr_block_output_rate	0.0	helium Containers sonarr Block Output Rate	data_rate
sensor.helium_containers_sonarr_cpu	0.08	helium Containers sonarr CPU	-
sensor.helium_containers_sonarr_memory	233.7	helium Containers sonarr Memory	data_size
sensor.helium_containers_sonarr_network_input	28.7	helium Containers sonarr Network Input	data_size
sensor.helium_containers_sonarr_network_input_rate	0.0	helium Containers sonarr Network Input Rate	data_rate
sensor.helium_containers_sonarr_network_output	170.0	helium Containers sonarr Network Output	data_size
sensor.helium_containers_sonarr_network_output_rate	0.0	helium Containers sonarr Network Output Rate	data_rate
sensor.helium_containers_traefik_block_input	168.0	helium Containers traefik Block Input	data_size
sensor.helium_containers_traefik_block_input_rate	0.0	helium Containers traefik Block Input Rate	data_rate
sensor.helium_containers_traefik_block_output	4.17	helium Containers traefik Block Output	data_size
sensor.helium_containers_traefik_block_output_rate	0.0	helium Containers traefik Block Output Rate	data_rate
sensor.helium_containers_traefik_cpu	0.07	helium Containers traefik CPU	-
sensor.helium_containers_traefik_memory	77.99	helium Containers traefik Memory	data_size
sensor.helium_containers_traefik_network_input	20172.8	helium Containers traefik Network Input	data_size
sensor.helium_containers_traefik_network_input_rate	0.0	helium Containers traefik Network Input Rate	data_rate
sensor.helium_containers_traefik_network_output	17715.2	helium Containers traefik Network Output	data_size
sensor.helium_containers_traefik_network_output_rate	0.0	helium Containers traefik Network Output Rate	data_rate
sensor.helium_cpu_fan	990.0	helium CPU fan	-
sensor.helium_cpu_temperature	37.0	helium CPU temperature	temperature
sensor.helium_cpu_usage	4.7	helium CPU usage	-
sensor.helium_disk1_temperature	37.0	helium disk1 temperature	temperature
sensor.helium_disk2_temperature	38.0	helium disk2 temperature	temperature
sensor.helium_last_boot	2026-07-25T21:02:02+00:00	helium Last boot	timestamp
sensor.helium_load_average_1m	0.52	helium Load average 1m	-
sensor.helium_media_pool_free	20988.1	helium Media pool free	data_size
sensor.helium_media_pool_size	22173.6	helium Media pool size	data_size
sensor.helium_media_pool_usage	5.3	helium Media pool usage	-
sensor.helium_media_pool_used	1185.5	helium Media pool used	data_size
sensor.helium_memory_usage	29.2	helium Memory usage	-
sensor.helium_memory_used	4608.3	helium Memory used	data_size
sensor.helium_os_disk_free	150.2	helium OS disk free	data_size
sensor.helium_os_disk_size	215.4	helium OS disk size	data_size
sensor.helium_os_disk_temperature	35.0	helium os disk temperature	temperature
sensor.helium_os_disk_usage	26.5	helium OS disk usage	-
sensor.helium_os_disk_used	54.2	helium OS disk used	data_size
sensor.helium_parity1_temperature	34.0	helium parity1 temperature	temperature
sensor.helium_parity2_temperature	36.0	helium parity2 temperature	temperature
sensor.helium_ssd1_temperature	34.0	helium ssd1 temperature	temperature
sensor.helium_ssd2_temperature	33.0	helium ssd2 temperature	temperature
sensor.helium_ssd_tier_free	414.0	helium SSD tier free	data_size
sensor.helium_ssd_tier_size	447.1	helium SSD tier size	data_size
sensor.helium_ssd_tier_usage	7.2	helium SSD tier usage	-
sensor.helium_ssd_tier_used	32.2	helium SSD tier used	data_size
sensor.helium_swap_usage	11.6	helium Swap usage	-
sensor.home_assistant_core_cpu_percent	0.18	Home Assistant Core CPU percent	-
sensor.home_assistant_core_memory_percent	17.28	Home Assistant Core Memory percent	-
sensor.home_frozen_precipitation	0	Home Frozen precipitation	-
sensor.home_precipitation_category	no_precipitation	Home Precipitation category	enum
sensor.home_thunder_probability	2	Home Thunder probability	-
sensor.humidity_median	40.7	Humidity median	humidity
sensor.ikea_of_sweden_tradfri_on_off_switch_battery	unavailable	IKEA of Sweden TRADFRI on/off switch Battery	battery
sensor.illumination	3593	Illumination	illuminance
sensor.illumination_smooth	3611.97	Illumination Smooth	illuminance
sensor.iphone_app_version	2026.7.1	iPhone App Version	-
sensor.iphone_audio_output	unavailable	iPhone Audio Output	-
sensor.iphone_battery_level	5	iPhone Battery Level	battery
sensor.iphone_battery_state	Not Charging	iPhone Battery State	-
sensor.iphone_bssid	unavailable	iPhone BSSID	-
sensor.iphone_connection_type	unavailable	iPhone Connection Type	-
sensor.iphone_geocoded_location	unavailable	iPhone Geocoded Location	-
sensor.iphone_kiosk_brightness	unavailable	iPhone Kiosk Brightness	-
sensor.iphone_kiosk_volume	unavailable	iPhone Kiosk Volume	-
sensor.iphone_last_update_trigger	unavailable	iPhone Last Update Trigger	-
sensor.iphone_location_permission	Authorized Always	iPhone Location permission	-
sensor.iphone_sim_1	unavailable	iPhone SIM 1	-
sensor.iphone_sim_2	unavailable	iPhone SIM 2	-
sensor.iphone_ssid	unavailable	iPhone SSID	-
sensor.iphone_storage	unavailable	iPhone Storage	-
sensor.leonardo_battery	63	Leonardo Battery	battery
sensor.leonardo_cleaning_area	33.5	Leonardo Cleaning area	-
sensor.leonardo_cleaning_time	37.3833333333333	Leonardo Cleaning time	duration
sensor.leonardo_current_room	Kitchen	Leonardo Current room	enum
sensor.leonardo_filter_time_left	119.884166666667	Leonardo Filter time left	duration
sensor.leonardo_last_clean_begin	2026-07-30T12:00:00+00:00	Leonardo Last clean begin	timestamp
sensor.leonardo_last_clean_end	2026-07-30T13:48:24+00:00	Leonardo Last clean end	timestamp
sensor.leonardo_main_brush_time_left	269.884166666667	Leonardo Main brush time left	duration
sensor.leonardo_maintenance_message	Clean sensors	Leonardo maintenance message	-
sensor.leonardo_sensor_time_left	-0.115833333333333	Leonardo Sensor time left	duration
sensor.leonardo_side_brush_time_left	169.884166666667	Leonardo Side brush time left	duration
sensor.leonardo_status	charger_disconnected	Leonardo Status	enum
sensor.leonardo_total_cleaning_area	24386.2	Leonardo Total cleaning area	-
sensor.leonardo_total_cleaning_count	800	Leonardo Total cleaning count	-
sensor.leonardo_total_cleaning_time	441.773611111111	Leonardo Total cleaning time	duration
sensor.leonardo_vacuum_error	none	Leonardo Vacuum error	enum
sensor.lumi_lumi_weather_battery	52.0	Fridge Battery	battery
sensor.lumi_lumi_weather_humidity	65.32	Fridge Humidity	humidity
sensor.lumi_lumi_weather_pressure	1000.03	Fridge Pressure	pressure
sensor.lumi_lumi_weather_temperature	7.54	Fridge	temperature
sensor.on_off_switch_01_battery	unavailable	on_off_switch_01 Battery	battery
sensor.paperless_available_storage	444.49	Paperless Available storage	data_size
sensor.paperless_documents_in_inbox	4	Paperless Documents in inbox	-
sensor.paperless_status_database	ok	Paperless Status database	enum
sensor.paperless_status_redis	ok	Paperless Status Redis	enum
sensor.paperless_status_sanity	ok	Paperless Status sanity	enum
sensor.paperless_total_documents	19	Paperless Total documents	-
sensor.paperless_total_storage	480.1	Paperless Total storage	data_size
sensor.qbittorrent_active_torrents	0	qBittorrent Active torrents	-
sensor.qbittorrent_all_time_download	0.602006765250735	qBittorrent All-time download	data_size
sensor.qbittorrent_all_time_upload	0.159363036346804	qBittorrent All-time upload	data_size
sensor.qbittorrent_all_torrents	0	qBittorrent All torrents	-
sensor.qbittorrent_connection_status	connected	qBittorrent Connection status	enum
sensor.qbittorrent_download_speed	0.0	qBittorrent Download speed	data_rate
sensor.qbittorrent_errored_torrents	0	qBittorrent Errored torrents	-
sensor.qbittorrent_global_ratio	0.26	qBittorrent Global ratio	-
sensor.qbittorrent_inactive_torrents	0	qBittorrent Inactive torrents	-
sensor.qbittorrent_paused_torrents	0	qBittorrent Paused torrents	-
sensor.qbittorrent_status	idle	qBittorrent Status	enum
sensor.qbittorrent_upload_speed	0.0	qBittorrent Upload speed	data_rate
sensor.radarr_disk_space_movies	20988.14	Radarr Disk space movies	data_size
sensor.radarr_movies	22	Radarr Movies	-
sensor.radarr_queue	0	Radarr Queue	-
sensor.seerr_audio_issues	0	Seerr Audio issues	-
sensor.seerr_available_requests	0	Seerr Available requests	-
sensor.seerr_closed_issues	0	Seerr Closed issues	-
sensor.seerr_declined_requests	0	Seerr Declined requests	-
sensor.seerr_movie_requests	11	Seerr Movie requests	-
sensor.seerr_open_issues	0	Seerr Open issues	-
sensor.seerr_pending_requests	0	Seerr Pending requests	-
sensor.seerr_processing_requests	5	Seerr Processing requests	-
sensor.seerr_subtitle_issues	0	Seerr Subtitle issues	-
sensor.seerr_total_issues	0	Seerr Total issues	-
sensor.seerr_total_requests	18	Seerr Total requests	-
sensor.seerr_tv_requests	7	Seerr TV requests	-
sensor.seerr_video_issues	0	Seerr Video issues	-
sensor.sm_x920_battery_level	69	SM-X920 Battery level	battery
sensor.sm_x920_battery_state	discharging	SM-X920 Battery state	enum
sensor.sm_x920_charger_type	none	SM-X920 Charger type	enum
sensor.sonarr_queue	0	Sonarr Queue	-
sensor.sonarr_shows	20	Sonarr Shows	-
sensor.sonarr_upcoming	0	Sonarr Upcoming	-
sensor.sonarr_wanted	7	Sonarr Wanted	-
sensor.sonoff_snzb_02d_battery	100.0	temp_hum_01 Battery	battery
sensor.sonoff_snzb_02d_battery_2	100.0	SONOFF SNZB-02D Battery	battery
sensor.sonoff_snzb_02d_battery_3	100.0	SONOFF SNZB-02D Battery	battery
sensor.sonoff_snzb_02d_humidity	40.7	temp_hum_01 Humidity	humidity
sensor.sonoff_snzb_02d_humidity_2	42.5	SONOFF SNZB-02D Humidity	humidity
sensor.sonoff_snzb_02d_humidity_3	44.4	SONOFF SNZB-02D Humidity	humidity
sensor.sonoff_snzb_02d_temperature	27.0	Living Room	temperature
sensor.sonoff_snzb_02d_temperature_2	26.2	Bedroom	temperature
sensor.sonoff_snzb_02d_temperature_3	26.2	Office	temperature
sensor.sonoff_snzb_02ld	30.8	Balcony	temperature
sensor.sonoff_snzb_02ld_battery	100.0	Balcony Battery	battery
sensor.sun_next_dawn	2026-07-31T02:21:32+00:00	Sun Next dawn	timestamp
sensor.sun_next_dusk	2026-07-30T20:06:06+00:00	Sun Next dusk	timestamp
sensor.sun_next_midnight	2026-07-30T23:13:30+00:00	Sun Next midnight	timestamp
sensor.sun_next_noon	2026-07-31T11:13:31+00:00	Sun Next noon	timestamp
sensor.sun_next_rising	2026-07-31T03:10:48+00:00	Sun Next rising	timestamp
sensor.sun_next_setting	2026-07-30T19:16:52+00:00	Sun Next setting	timestamp
sensor.temperature_median	26.2	Temperaturen median	temperature
sensor.time_at_work_today	0.0	Time at work today	duration
sensor.waze_drive_to_work	27.55	Drive to work (Hanna)	duration
sensor.work_hours_daily	0	Work hours daily	duration
sensor.xiaomi_lumi_sen_ill_mgl01_battery	unknown	XIAOMI lumi.sen_ill.mgl01 Battery	battery
stt.home_assistant_cloud	unknown	Home Assistant Cloud	-
sun.sun	above_horizon	Sun	-
switch.leonardo_do_not_disturb	on	Leonardo Do not disturb	-
switch.leonardo_dock_child_lock	off	Leonardo Dock Child lock	-
switch.leonardo_dock_status_indicator_light	on	Leonardo Dock Status indicator light	-
switch.qbittorrent_alternative_speed	off	qBittorrent Alternative speed	-
time.leonardo_do_not_disturb_begin	22:00:00	Leonardo Do not disturb begin	-
time.leonardo_do_not_disturb_end	08:00:00	Leonardo Do not disturb end	-
todo.shopping_list	2	Shopping List	-
tts.google_translate_en_com	unknown	Google Translate en com	-
tts.home_assistant_cloud	2026-05-23T11:21:35.311427+00:00	Home Assistant Cloud	-
update.button_card_update	off	button-card Update	-
update.card_mod_update	off	card-mod Update	-
update.file_editor_update	off	File editor Update	-
update.grocy_update	off	Grocy Update	-
update.hacs_update	off	HACS Update	-
update.home_assistant_connect_zbt_2_e072a1da6dc8_firmware	unavailable	Home Assistant Connect ZBT-2 (E072A1DA6DC8) Firmware	firmware
update.home_assistant_core_update	off	Home Assistant Core Update	-
update.home_assistant_operating_system_update	off	Home Assistant Operating System Update	-
update.home_assistant_supervisor_update	off	Home Assistant Supervisor Update	-
update.https_paperless_home_stromdahl_tech_software	on	Paperless Software	firmware
update.ikea_of_sweden_tradfri_bulb_e14_ws_470lm_firmware	unknown	light_bulb_03 Firmware	firmware
update.ikea_of_sweden_tradfri_bulb_e14_ws_470lm_firmware_2	unknown	light_bulb_04 Firmware	firmware
update.ikea_of_sweden_tradfri_on_off_switch_firmware	unavailable	IKEA of Sweden TRADFRI on/off switch Firmware	firmware
update.ikea_of_sweden_tradfribulbe27wsglobeopal1055lm_firmware	unknown	light_boulb_02 Firmware	firmware
update.let_s_encrypt_update	off	Let's Encrypt Update	-
update.light_bulb_01_firmware	unknown	light_bulb_01 Firmware	firmware
update.matter_server_update	off	Matter Server Update	-
update.mini_graph_card_update	off	mini-graph-card Update	-
update.mosquitto_broker_update	off	Mosquitto broker Update	-
update.mushroom_update	off	Mushroom Update	-
update.music_assistant_update	off	Music Assistant Update	-
update.nginx_home_assistant_ssl_proxy_update	off	NGINX Home Assistant SSL proxy Update	-
update.on_off_switch_01_firmware	unavailable	on_off_switch_01 Firmware	firmware
update.openthread_border_router_update	off	OpenThread Border Router Update	-
update.sonoff_snzb_02d_firmware	off	temp_hum_01 Firmware	firmware
update.sonoff_snzb_02d_firmware_2	off	SONOFF SNZB-02D Firmware	firmware
update.sonoff_snzb_02d_firmware_3	off	SONOFF SNZB-02D Firmware	firmware
update.sonoff_snzb_02ld_firmware	off	Balcony Firmware	firmware
update.terminal_ssh_update	off	Terminal & SSH Update	-
vacuum.leonardo	idle	Leonardo	-
vacuum.leonardo_smart	idle	Leonardo Smart	-
weather.forecast_home	partlycloudy	Forecast Home	-
weather.smhi_home	sunny	Home	-
zone.hannas_mother	0	Hannas Mother	-
zone.home	2	Home	-
zone.mattias_parents	0	Mattias Parents	-
zone.work	0	Work Hanna	-
zone.work_mattias	0	Work Mattias	-
